                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2979,                0.59582,                 1.1113,                0.93325,                0.94543,                0.97344,                0.64639,                 1.1909,                 0.5188,                 1.1275,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3039,                0.59448,                 1.1168,                0.91671,                0.94771,                0.96992,                0.61639,                  1.232,                0.54767,                 1.1422,               0.001307,               0.001307,               0.001307
                     37,                 1.2896,                0.58227,                 1.1123,                0.91516,                0.94896,                0.96972,                 0.6106,                 1.2828,                0.55296,                 1.1807,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2787,                0.58153,                 1.1032,                0.92576,                0.94873,                 0.9723,                0.64176,                 1.1999,                0.51845,                 1.1337,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2858,                0.57674,                 1.1057,                0.93456,                0.94845,                0.97686,                0.64545,                 1.1698,                0.50304,                  1.109,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2851,                0.58256,                 1.1098,                 0.9186,                0.94266,                0.96807,                0.59056,                 1.3474,                0.57798,                 1.2131,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2771,                 0.5773,                 1.1085,                0.93544,                0.95021,                0.97611,                0.65905,                 1.1528,                0.49519,                 1.1132,               0.001208,               0.001208,               0.001208
                     42,                  1.277,                0.57561,                 1.1048,                0.92626,                0.95292,                0.97539,                0.64692,                 1.1624,                0.50018,                 1.1095,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2709,                0.57072,                 1.0995,                0.92658,                0.95108,                0.97385,                0.62831,                 1.2188,                0.52162,                  1.134,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.2536,                0.56651,                 1.0887,                0.93088,                0.94783,                0.97513,                0.63373,                 1.2174,                0.51579,                 1.1388,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.2634,                0.56641,                 1.0987,                0.92868,                0.95084,                0.97466,                0.63389,                 1.2108,                0.51686,                 1.1423,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.2684,                 0.5684,                  1.106,                0.92136,                0.95381,                0.97285,                0.65035,                 1.1782,                0.51358,                 1.1302,               0.001109,               0.001109,               0.001109
                     47,                 1.2513,                0.56219,                  1.098,                 0.9319,                0.95359,                 0.9765,                0.65599,                 1.1554,                0.49575,                  1.111,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.2521,                0.56062,                 1.0977,                0.93322,                0.95462,                0.97723,                0.66258,                 1.1299,                0.48692,                 1.0981,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2495,                0.56154,                  1.091,                0.93561,                0.95301,                0.97863,                 0.6628,                  1.144,                0.49354,                 1.1033,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.2505,                0.55796,                 1.0953,                0.93035,                 0.9565,                0.97741,                0.65966,                 1.1322,                0.49563,                 1.0954,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2478,                0.56232,                 1.0844,                 0.9331,                0.95278,                0.97679,                0.64648,                 1.1729,                0.50746,                 1.1177,                0.00101,                0.00101,                0.00101
                     52,                  1.253,                0.55689,                 1.0978,                0.93615,                0.95508,                0.97926,                0.66397,                 1.1314,                0.48709,                 1.1037,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2289,                0.55317,                  1.089,                0.93426,                0.95767,                0.97863,                0.66785,                 1.1326,                0.48037,                 1.1013,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2364,                0.55047,                 1.0868,                0.93324,                0.95447,                0.97725,                 0.6493,                 1.1962,                0.50209,                 1.1345,              0.0009506,              0.0009506,              0.0009506
                     55,                   1.25,                0.55639,                 1.0904,                0.93357,                0.95574,                0.97788,                0.65332,                 1.1784,                0.49023,                 1.1164,              0.0009308,              0.0009308,              0.0009308
